note_id,account_alias,crm_ready_summary,primary_follow_up_category,overall_priority,manual_review_required,reason_for_review,action_count
CRM-0001,Account-FQL-1001,Account-FQL-1001 requires 4 follow-up item(s) after procurement update. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,owner is not clearly identified in the note; timing is vague or tentative; note context flagged: 'unclear',4
CRM-0002,Account-FQL-1002,Account-FQL-1002 requires 3 follow-up item(s) after sales call. Primary focus is renewal commercial. Current blocker: Billing clarification. Overall priority is High; manual review: No.,renewal_commercial,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0003,Account-FQL-1003,Account-FQL-1003 requires 3 follow-up item(s) after partner handover. Primary focus is pricing quote. Current blocker: Competitive review. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,3
CRM-0004,Account-FQL-1004,Account-FQL-1004 requires 3 follow-up item(s) after technical clarification call. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,note context flagged: 'messy',3
CRM-0005,Account-FQL-1005,Account-FQL-1005 requires 3 follow-up item(s) after technical clarification call. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is Medium; manual review: Yes.,procurement_vendor_setup,Medium,Yes,no timing reference found,3
CRM-0006,Account-FQL-1006,Account-FQL-1006 requires 3 follow-up item(s) after procurement update. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.,3
CRM-0007,Account-FQL-1007,Account-FQL-1007 requires 2 follow-up item(s) after demo follow-up. Primary focus is technical clarification. Current blocker: Reporting gaps. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0008,Account-FQL-1008,Account-FQL-1008 requires 2 follow-up item(s) after technical clarification call. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0009,Account-FQL-1009,Account-FQL-1009 requires 2 follow-up item(s) after email summary. Primary focus is technical clarification. Current blocker: Early-stage info request. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0010,Account-FQL-1010,Account-FQL-1010 requires 2 follow-up item(s) after internal pipeline review. Primary focus is pricing quote. Current blocker: Payment exception approval. Overall priority is Medium; manual review: Yes.,pricing_quote,Medium,Yes,no timing reference found,2
CRM-0011,Account-FQL-1011,Account-FQL-1011 requires 2 follow-up item(s) after email summary. Primary focus is technical clarification. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0012,Account-FQL-1012,Account-FQL-1012 requires 2 follow-up item(s) after internal pipeline review. Primary focus is procurement vendor setup. Current blocker: CRM stage update. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.,2
CRM-0013,Account-FQL-1013,Account-FQL-1013 requires 2 follow-up item(s) after account review. Primary focus is account research. Current blocker: Insufficient partner context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,no timing reference found; note context flagged: 'partner handover',2
CRM-0014,Account-FQL-1014,Account-FQL-1014 requires 2 follow-up item(s) after procurement update. Primary focus is technical clarification. Current blocker: Security questionnaire pending. Overall priority is Medium; manual review: Yes.,technical_clarification,Medium,Yes,no timing reference found,2
CRM-0015,Account-FQL-1015,Account-FQL-1015 requires 4 follow-up item(s) after procurement update. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,owner is not clearly identified in the note; timing is vague or tentative; note context flagged: 'unclear',4
