note_id,account_alias,industry_segment,region,interaction_date,interaction_type,opportunity_stage,note_author_role,crm_owner,product_interest_area,estimated_deal_band,source_channel,note_body,current_blocker_tag,existing_next_action_field
CRM-0001,Account-FQL-1001,Real Estate Services,India-South,2026-04-02,Procurement Update,Discovery,CSM,CSM-01,AI Document Assistant,<25K,CRM note,Demo recap - buying team asked for a shorter workflow demo using their renewal example. Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights. No firm date; they said 'early next week should work'. Owner unclear in note. Also asked to keep pricing out of the recap email.,Demo follow-up; owner unclear,Send recap and clarify admin rights
CRM-0002,Account-FQL-1002,Professional Services,US-West,2026-04-03,Sales Call,Discovery,AE,CSM-01,CRM Integration,250K+,CRM note,Renewal check-in was mostly positive. CSM says usage is strong in two teams but finance asked why last invoice had one-time onboarding listed. Need billing clarification before renewal quote is reissued. AE to send renewal proposal by Wednesday if billing confirms. Customer wants final numbers before month-end.,Billing clarification,Clarify billing then resend renewal proposal
CRM-0003,Account-FQL-1003,SaaS Operations,MEA,2026-04-06,Partner Handover,Closed-Lost Follow-up,SE,CSM-01,Reporting Suite,250K+,Email copied to CRM,"Pipeline note: Account-FQL-1003 still comparing two vendors. They asked for customer references from similar saas operations accounts and want a simple ROI summary. No pricing objection yet, but procurement asked if annual billing is mandatory. Follow up next Tue. Manager wants this kept warm but not over-promised.",Competitive review,Send references and ROI summary
CRM-0004,Account-FQL-1004,Manufacturing,India-North,2026-04-06,Technical Clarification Call,Legal/Security Review,RevOps,AE-03,CRM Integration,50K-100K,CRM note,"Call notes messy: CFO joined late. Main ask was revised quote for 75 seats not 100. They also mentioned data residency but said not a blocker 'for now'. AE should send new quote today. SE maybe needs to answer hosting region question, not urgent. Follow-up call tentatively Friday 4pm but not confirmed.",Quote revision,Revise quote for 75 seats
CRM-0005,Account-FQL-1005,B2B Services,US-West,2026-04-06,Technical Clarification Call,Demo Scheduled,RevOps,CSM-02,Workflow Automation,100K-250K,CRM note,Procurement update from email thread. Vendor registration link received but tax form and bank letter not uploaded. RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval. Legal review already done. Customer wants confirmation once portal status changes.,Vendor registration incomplete,Complete vendor portal fields
CRM-0006,Account-FQL-1006,Education Services,India-South,2026-04-07,Procurement Update,Renewal Review,Sales Manager,SE-01,CRM Integration,<25K,CRM note,Customer success handover note. Pilot users asked for import template and sample dashboard config. They are not ready for contract discussion. Need SE to send import template before Thursday and CSM to schedule pilot check-in next week. One open concern: their ops team has limited admin bandwidth.,Pilot enablement,Send import template and schedule pilot check-in
CRM-0007,Account-FQL-1007,Real Estate Services,MEA,2026-04-08,Demo Follow-up,Commercial Review,CSM,AE-02,Data Connector,50K-100K,Pipeline review note,Account review: expansion possible but only after reporting gaps are resolved. Customer asked for dashboard export sample and list of current API limits. AE said he would circle back but no date written. Also need internal decision on whether custom report is included in current package.,Reporting gaps,Share dashboard export sample and API limits
CRM-0008,Account-FQL-1008,Real Estate Services,US-East,2026-04-09,Technical Clarification Call,Demo Completed,RevOps,CSM-01,Knowledge Search,<25K,Call summary,Legal/security review call. DPA redline expected tomorrow. Customer security wants SOC2 report and subprocessor list. No objection on commercials. LegalOps should review redline when received; AE to send security docs today. Blocker is DPA closure.,DPA closure pending,Send security docs and watch for DPA redline
CRM-0009,Account-FQL-1009,SaaS Operations,MEA,2026-04-10,Email Summary,Demo Completed,SE,CSM-02,CRM Integration,50K-100K,CRM note,"Inbound lead follow-up. Prospect asked for pricing range, implementation timeline and whether CRM sync works with their current setup. They are small team, not ready for full demo. AE to send intro pack and rough pricing band; SE only needed if they reply with connector details.",Early-stage info request,Send intro pack and pricing band
CRM-0010,Account-FQL-1010,Retail Operations,India-West,2026-04-13,Internal Pipeline Review,Procurement,RevOps,AE-02,CRM Integration,250K+,Email copied to CRM,Negotiation call got stuck on payment terms. Customer wants quarterly payments; current quote assumes annual upfront. Sales manager needs to approve exception before AE responds. Also asked for contract start date to align with July 1. Do not send final quote until approval.,Payment exception approval,Get payment terms approval
CRM-0011,Account-FQL-1011,Retail Operations,APAC,2026-04-13,Email Summary,Legal/Security Review,CSM,CSM-02,AI Document Assistant,25K-50K,Email copied to CRM,Old opportunity revived. Notes from last year mention integration gap but current buyer says they only need reporting module now. Need AE to confirm use case in writing and ask if previous security review can be reused. No action owner listed for security reuse question.,Reopened opportunity context,Confirm current use case
CRM-0012,Account-FQL-1012,Marketplace Operations,US-West,2026-04-13,Internal Pipeline Review,Negotiation,RevOps,CSM-01,AI Document Assistant,250K+,Pipeline review note,Internal pipeline review: deal moved to procurement but CRM stage not updated. AE says champion verbally confirmed vendor onboarding. Need RevOps to update stage and AE to upload latest email proof. Next customer touch after PO ETA. No customer-facing email needed today.,CRM stage update,Update CRM stage and upload email proof
CRM-0013,Account-FQL-1013,B2B Services,India-West,2026-04-14,Account Review,Demo Scheduled,CSM,SE-02,Analytics Dashboard,100K-250K,Pipeline review note,Partner handover note not very clear. Partner says client wants 'automation + dashboards' but no exact workflow captured. Need someone to ask partner for notes from discovery call and confirm who owns next customer meeting. Could be AE or partner manager. Keep manual review.,Insufficient partner context,Ask partner for discovery notes
CRM-0014,Account-FQL-1014,Professional Services,APAC,2026-04-15,Procurement Update,Renewal Review,Sales Manager,AE-01,Analytics Dashboard,250K+,Email copied to CRM,Call w/ ops lead. They liked the Analytics Dashboard flow but are waiting on InfoSec notes before moving proposal ahead. AE-01 mentioned SSO + data retention questions are still open. Need SE to send technical sheet by Fri and AE to share revised commercial pack after that. Procurement form not started yet. Customer said budget is approved but PO cannot be raised until security questionnaire is answered.,Security questionnaire pending,Send tech sheet + revised commercial pack
CRM-0015,Account-FQL-1015,Real Estate Services,US-East,2026-04-16,Procurement Update,Demo Scheduled,SE,AE-03,Reporting Suite,<25K,Email copied to CRM,Demo recap - buying team asked for a shorter workflow demo using their renewal example. Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights. No firm date; they said 'early next week should work'. Owner unclear in note. Also asked to keep pricing out of the recap email.,Demo follow-up; owner unclear,Send recap and clarify admin rights
CRM-0016,Account-FQL-1016,SaaS Operations,India-North,2026-04-17,Demo Follow-up,Renewal Review,RevOps,Manager-01,CRM Integration,25K-50K,Email copied to CRM,Renewal check-in was mostly positive. CSM says usage is strong in two teams but finance asked why last invoice had one-time onboarding listed. Need billing clarification before renewal quote is reissued. AE to send renewal proposal by Wednesday if billing confirms. Customer wants final numbers before month-end.,Billing clarification,Clarify billing then resend renewal proposal
CRM-0017,Account-FQL-1017,Healthcare Operations,India-West,2026-04-20,Technical Clarification Call,Negotiation,SE,AE-01,Analytics Dashboard,50K-100K,Email copied to CRM,"Pipeline note: Account-FQL-1017 still comparing two vendors. They asked for customer references from similar healthcare operations accounts and want a simple ROI summary. No pricing objection yet, but procurement asked if annual billing is mandatory. Follow up next Tue. Manager wants this kept warm but not over-promised.",Competitive review,Send references and ROI summary
CRM-0018,Account-FQL-1018,Retail Operations,India-West,2026-04-20,Demo Follow-up,Proposal Sent,AE,RevOps-01,Analytics Dashboard,250K+,Call summary,"Call notes messy: CFO joined late. Main ask was revised quote for 75 seats not 100. They also mentioned data residency but said not a blocker 'for now'. AE should send new quote today. SE maybe needs to answer hosting region question, not urgent. Follow-up call tentatively Friday 4pm but not confirmed.",Quote revision,Revise quote for 75 seats
CRM-0019,Account-FQL-1019,Healthcare Operations,APAC,2026-04-20,Account Review,Renewal Review,RevOps,Manager-01,Data Connector,25K-50K,Call summary,Procurement update from email thread. Vendor registration link received but tax form and bank letter not uploaded. RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval. Legal review already done. Customer wants confirmation once portal status changes.,Vendor registration incomplete,Complete vendor portal fields
CRM-0020,Account-FQL-1020,Marketplace Operations,UK,2026-04-21,Technical Clarification Call,Legal/Security Review,SE,Manager-01,Reporting Suite,<25K,Call summary,Customer success handover note. Pilot users asked for import template and sample dashboard config. They are not ready for contract discussion. Need SE to send import template before Thursday and CSM to schedule pilot check-in next week. One open concern: their ops team has limited admin bandwidth.,Pilot enablement,Send import template and schedule pilot check-in
CRM-0021,Account-FQL-1021,Retail Operations,India-South,2026-04-22,Sales Call,Procurement,Sales Manager,Manager-01,CRM Integration,250K+,Call summary,Account review: expansion possible but only after reporting gaps are resolved. Customer asked for dashboard export sample and list of current API limits. AE said he would circle back but no date written. Also need internal decision on whether custom report is included in current package.,Reporting gaps,Share dashboard export sample and API limits
CRM-0022,Account-FQL-1022,Manufacturing,India-South,2026-04-23,Sales Call,Closed-Lost Follow-up,CSM,AE-02,Workflow Automation,50K-100K,CRM note,Legal/security review call. DPA redline expected tomorrow. Customer security wants SOC2 report and subprocessor list. No objection on commercials. LegalOps should review redline when received; AE to send security docs today. Blocker is DPA closure.,DPA closure pending,Send security docs and watch for DPA redline
