action_id,note_id,action_text,suggested_owner,timing_reference,due_date_iso,priority,follow_up_category,blocker_dependency,confidence,manual_review_required,supporting_text
ACT-0001-01,CRM-0001,A shorter workflow demo using their renewal example,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Demo recap - buying team asked for a shorter workflow demo using their renewal example.
ACT-0001-02,CRM-0001,Send a 1-page recap,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights.
ACT-0001-03,CRM-0001,Confirm whether connector setup needs admin rights,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Champion asked if we can send a 1-page recap and confirm whether connector setup needs admin rights.
ACT-0001-04,CRM-0001,Keep pricing out of the recap email,,No firm date,,Medium,demo_pilot,Demo follow-up; owner unclear,Medium,Yes,Also asked to keep pricing out of the recap email.
ACT-0002-01,CRM-0002,Need billing clarification before renewal quote is reissued,AE,by Wednesday,2026-04-08,High,renewal_commercial,Billing clarification,High,No,Need billing clarification before renewal quote is reissued.
ACT-0002-02,CRM-0002,Send renewal proposal by Wednesday if billing confirms,AE,by Wednesday,2026-04-08,High,renewal_commercial,Billing clarification,High,No,AE to send renewal proposal by Wednesday if billing confirms.
ACT-0002-03,CRM-0002,Final numbers before month-end,AE,month-end,2026-04-30,High,renewal_commercial,Billing clarification,High,No,Customer wants final numbers before month-end.
ACT-0003-01,CRM-0003,Customer references from similar saas operations accounts and want a simple ROI summary,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,They asked for customer references from similar saas operations accounts and want a simple ROI summary.
ACT-0003-02,CRM-0003,Annual billing is mandatory,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,"No pricing objection yet, but procurement asked if annual billing is mandatory."
ACT-0003-03,CRM-0003,Follow up next Tue,SE,,,Medium,pricing_quote,Competitive review,Medium,Yes,Follow up next Tue.
ACT-0004-01,CRM-0004,Send new quote today,AE,today,2026-04-06,High,pricing_quote,Quote revision,High,Yes,AE should send new quote today.
ACT-0004-02,CRM-0004,"Answer hosting region question, not urgent",AE,not urgent,,High,pricing_quote,Quote revision,Medium,Yes,"SE maybe needs to answer hosting region question, not urgent."
ACT-0004-03,CRM-0004,Follow-up call tentatively Friday 4pm,AE,Friday 4pm,2026-04-10,High,pricing_quote,Quote revision,High,Yes,Follow-up call tentatively Friday 4pm but not confirmed.
ACT-0005-01,CRM-0005,Complete vendor portal fields,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval.
ACT-0005-02,CRM-0005,Tell champion that PO timeline depends on portal approval,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,RevOps to complete vendor portal fields; AE to tell champion that PO timeline depends on portal approval.
ACT-0005-03,CRM-0005,Confirmation once portal status changes,AE,,,Medium,procurement_vendor_setup,Vendor registration incomplete,Medium,Yes,Customer wants confirmation once portal status changes.
ACT-0006-01,CRM-0006,Import template and sample dashboard config,SE,Thursday,2026-04-09,High,demo_pilot,Pilot enablement,High,No,Pilot users asked for import template and sample dashboard config.
ACT-0006-02,CRM-0006,Send import template before Thursday and,SE,Thursday,2026-04-09,High,demo_pilot,Pilot enablement,High,No,Need SE to send import template before Thursday and CSM to schedule pilot check-in next week.
ACT-0006-03,CRM-0006,Schedule pilot check-in next week,SE,Thursday,2026-04-09,High,demo_pilot,Pilot enablement,High,No,Need SE to send import template before Thursday and CSM to schedule pilot check-in next week.
ACT-0007-01,CRM-0007,Dashboard export sample and list of current API limits,AE,,,Medium,technical_clarification,Reporting gaps,Medium,Yes,Customer asked for dashboard export sample and list of current API limits.
ACT-0007-02,CRM-0007,Also need internal decision on whether custom report is included in current package,AE,,,Medium,technical_clarification,Reporting gaps,Medium,Yes,Also need internal decision on whether custom report is included in current package.
ACT-0008-01,CRM-0008,SOC2 report and subprocessor list,AE,tomorrow,2026-04-10,High,legal_security_review,DPA closure pending,High,No,Customer security wants SOC2 report and subprocessor list.
ACT-0008-02,CRM-0008,Send security docs today,AE,today,2026-04-09,High,legal_security_review,DPA closure pending,High,No,LegalOps should review redline when received; AE to send security docs today.
