note_id,crm_ready_summary,primary_follow_up_category,overall_priority,manual_review_required,reason_for_review
CRM-0001,Account-FQL-1001 requires 2 follow-up item(s) after procurement update. Primary focus is demo pilot. Current blocker: Demo follow-up; owner unclear. Overall priority is Medium; manual review: Yes.,demo_pilot,Medium,Yes,Owner for recap is not clearly mentioned.
CRM-0002,Account-FQL-1002 requires 2 follow-up item(s) after sales call. Primary focus is billing clarification. Current blocker: Billing clarification. Overall priority is High; manual review: No.,billing_clarification,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0003,Account-FQL-1003 requires 3 follow-up item(s) after partner handover. Primary focus is account research. Current blocker: Competitive review. Overall priority is Medium; manual review: No.,account_research,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0004,Account-FQL-1004 requires 3 follow-up item(s) after technical clarification call. Primary focus is pricing quote. Current blocker: Quote revision. Overall priority is High; manual review: Yes.,pricing_quote,High,Yes,Follow-up meeting is tentative and should be verified manually.
CRM-0005,Account-FQL-1005 requires 3 follow-up item(s) after technical clarification call. Primary focus is procurement vendor setup. Current blocker: Vendor registration incomplete. Overall priority is High; manual review: No.,procurement_vendor_setup,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0006,Account-FQL-1006 requires 2 follow-up item(s) after procurement update. Primary focus is demo pilot. Current blocker: Pilot enablement. Overall priority is High; manual review: No.,demo_pilot,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0007,Account-FQL-1007 requires 3 follow-up item(s) after demo follow-up. Primary focus is proposal collateral. Current blocker: Reporting gaps. Overall priority is High; manual review: Yes.,proposal_collateral,High,Yes,Dates are missing for two requested follow-ups.
CRM-0008,Account-FQL-1008 requires 2 follow-up item(s) after technical clarification call. Primary focus is legal security review. Current blocker: DPA closure pending. Overall priority is High; manual review: No.,legal_security_review,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0009,Account-FQL-1009 requires 2 follow-up item(s) after email summary. Primary focus is pricing quote. Current blocker: Early-stage info request. Overall priority is Medium; manual review: No.,pricing_quote,Medium,No,No major ambiguity beyond normal sales-ops review.
CRM-0010,Account-FQL-1010 requires 2 follow-up item(s) after internal pipeline review. Primary focus is internal approval. Current blocker: Payment exception approval. Overall priority is High; manual review: No.,internal_approval,High,No,No major ambiguity beyond normal sales-ops review.
CRM-0011,Account-FQL-1011 requires 2 follow-up item(s) after email summary. Primary focus is account research. Current blocker: Reopened opportunity context. Overall priority is Medium; manual review: Yes.,account_research,Medium,Yes,Security-review owner is not mentioned.
CRM-0012,Account-FQL-1012 requires 2 follow-up item(s) after internal pipeline review. Primary focus is crm update. Current blocker: CRM stage update. Overall priority is High; manual review: No.,crm_update,High,No,No major ambiguity beyond normal sales-ops review.
